Event Time,Effect Time,Ignition Event Time,NAME,Position,Part Number,Description,Module,Socket,Cue
14:25.3,14:28.3,865.305,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,1
14:28.7,14:31.7,868.705,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,2
14:31.5,14:35.0,871.498,Sailor's Nightmare,Board 1,Sailor's Nightmare,9 Shot Green Blue Red Yellow Peony w/ Falling Leaves Center Cake,0,1,8
15:01.9,15:01.9,901.893,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,0
15:02.4,15:02.4,902.443,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,1
15:03.0,15:03.0,902.993,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,2
15:03.5,15:03.5,903.543,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,3
15:04.1,15:04.1,904.093,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,4
15:04.6,15:04.6,904.643,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,5
15:05.2,15:05.2,905.193,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,6
15:06.3,15:06.3,906.333,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,7
15:06.9,15:06.9,906.883,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,8
15:07.4,15:07.4,907.433,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,9
15:08.0,15:08.0,907.983,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,10
15:08.5,15:08.5,908.533,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,11
15:09.1,15:09.1,909.083,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,12
15:09.6,15:09.6,909.633,Gold Wave Comet,Comets B,Gold Wave Comet,Gold Comet,0,6,13
15:12.5,15:15.3,912.512,TM490,Board 5,TM490,49 Shot Strobing Red & White & Blue Waterfall Cake Fan,1,1,1
16:15.1,16:17.9,975.093,TM150,Board 5,TM150,42 Shot White Waterfall Z Shape Cake Cake,1,1,0
16:35.3,16:38.4,995.336,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,0
16:38.6,16:41.6,998.586,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,0
16:41.8,16:44.9,1001.836,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,1
16:45.1,16:48.1,1005.086,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,1
16:48.3,16:51.4,1008.336,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,2
16:51.6,16:54.6,1011.586,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,3
16:54.8,16:57.9,1014.836,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,2
16:58.1,17:01.1,1018.086,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,3
17:01.3,17:04.4,1021.336,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,4
17:05.5,17:05.5,1025.455,629 130 shot Z Gold Glitter Comets,Board 3,629 130 shot Z Gold Glitter Comets,130 Shot Z Shape Gold Glittering Comet w/ Tail Cake,0,3,7
17:34.1,17:37.1,1054.087,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,5
17:37.3,17:40.4,1057.337,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,4
17:40.6,17:43.6,1060.587,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,5
17:43.8,17:46.9,1063.837,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,6
17:48.3,17:51.1,1068.27,TM150,Board 8,TM150,42 Shot White Waterfall Z Shape Cake Cake,2,0,5
18:08.7,18:11.8,1088.737,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,7
18:12.0,18:15.0,1091.987,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,8
18:15.2,18:18.3,1095.237,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,6
18:18.5,18:21.5,1098.487,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,9
18:21.7,18:24.8,1101.737,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,10
18:25.0,18:28.0,1104.987,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,7
18:28.2,18:31.3,1108.237,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,11
18:31.5,18:34.5,1111.487,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,8
18:34.7,18:37.8,1114.737,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,12
18:38.0,18:41.0,1117.987,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,13
18:41.2,18:44.3,1121.237,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,14
18:44.5,18:47.5,1124.487,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,9
18:47.7,18:50.8,1127.737,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,10
18:51.0,18:54.0,1130.987,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,11
18:54.2,18:57.3,1134.237,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,0,15
18:57.5,19:00.5,1137.487,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,12
19:00.7,19:03.8,1140.737,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,1,0
20:03.2,20:05.6,1203.179,421 20s Waterfall/Horsetail,Board 1,421 20s Waterfall/Horsetail,20 Shot Gold Horsetail Cake Fan,0,1,0
20:31.2,20:34.0,1231.188,TM150,Board 3,TM150,42 Shot White Waterfall Z Shape Cake Cake,0,3,6
20:51.6,20:54.6,1251.6,690 12s Double Timerain Crackle,Board 2,690 12s Double Timerain Crackle,10 Shot Popcorn Crackle Chrys Cake,0,2,4
21:32.3,21:34.7,1292.298,421 20s Waterfall/Horsetail,Board 2,421 20s Waterfall/Horsetail,20 Shot Gold Horsetail Cake Fan,0,2,3
22:03.4,22:03.4,1323.444,TM492,Board 9,TM492,49 Shot Falling Red & White & Blue Comet z Cake,2,1,8
22:45.1,22:45.1,1365.119,Out with a Bang,Board 10,Out with a Bang,295 Shot Silver Bushy Comet z Cake,2,2,2
23:23.9,23:23.9,1403.906,TM492,Board 2,TM492,49 Shot Falling Red & White & Blue Comet z Cake,0,2,7
24:08.2,24:08.2,1448.18,Out with a Bang,Board 9,Out with a Bang,295 Shot Silver Bushy Comet z Cake,2,1,6
24:45.3,24:47.7,1485.274,421 20s Waterfall/Horsetail,Board 9,421 20s Waterfall/Horsetail,20 Shot Gold Horsetail Cake Fan,2,1,0
25:15.0,25:17.4,1514.998,421 20s Waterfall/Horsetail,Board 10,421 20s Waterfall/Horsetail,20 Shot Gold Horsetail Cake Fan,2,2,0
26:28.0,26:31.0,1587.964,GM488 Super Red Flash,Board 11,GM488 Super Red Flash,10 Shot Red Strobing Peony Cake,2,3,4
26:54.2,26:54.2,1614.236,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 5,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,1,1,12
26:57.7,27:00.5,1617.702,GM433 Crackling,Board 11,GM433 Crackling,36 Shot Gold Crackling Peony Fan Cake,2,3,2
27:04.4,27:07.2,1624.434,TM491,Board 7,TM491,49 Shot Gold Chrys w/ Varg Pistil Cake,1,3,4
27:25.0,27:25.0,1644.98,TM810,Board 5,TM810,81 Shot Blue Tail To Silver Bees Cake Z Shape,1,1,7
27:42.4,27:45.4,1662.424,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,3
27:45.1,27:48.1,1665.066,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,4
