Description,Receiver,Socket,Cue,Time (s)
36 Shot Blue Peony Cake,4,0,2,1587.205
36 Shot Blue Peony Cake,4,1,9,1593.605
"3""",2,0,3,1595.02
36 Shot Blue Peony Cake,0,1,1,1596.76
13 Shot Fan Crackling Crossette Cake,0,1,13,1597.76
13 Shot Fan Crackling Crossette Cake,4,1,13,1597.76
"3""",3,5,8,1598.46
"3""",3,5,10,1598.86
"3""",3,5,9,1599.26
"3""",3,5,11,1599.66
"3""",3,5,12,1600.06
"3""",3,5,14,1600.46
"3""",3,5,13,1600.86
"3""",3,5,15,1601.26
"3""",1,5,8,1601.66
"3""",1,5,10,1602.06
"3""",1,5,9,1602.46
"3""",1,5,11,1602.86
"3""",1,5,12,1603.26
"3""",1,5,14,1603.66
"3""",1,5,13,1604.06
"3""",1,5,15,1604.46
182 Shot Comet Fan Cake Z Shape,0,1,10,1604.586
182 Shot Comet Fan Cake Z Shape,4,1,6,1604.586
25 Shot Silver Spinners Cake Z Shape,1,2,10,1611.409
25 Shot Silver Spinners Cake Z Shape,3,0,12,1611.409
Palm w/ Green Pistil,4,6,8,1628.495
Palm w/ Green Pistil,0,6,8,1629.438
Palm w/ Green Pistil,4,6,9,1630.138
Palm w/ Green Pistil,4,6,10,1631.191
Palm w/ Green Pistil,4,6,11,1632.556
Palm w/ Green Pistil,0,6,9,1634.625
Palm w/ Green Pistil,0,6,10,1637.589
Palm w/ Green Pistil,0,6,11,1640.551
13 Shot Fan Crackling Crossette Cake,0,1,14,1680.451
13 Shot Fan Crackling Crossette Cake,4,1,14,1680.451
130 Shot Z Shape Rising Red Glittering Comet w/ Red Tail Cake,2,1,10,1681.102
10 Shot White Strobing Peony Cake,1,1,8,1682.446
10 Shot Red Strobing Peony Cake,3,1,9,1682.446
36 Shot Aqua Peony Cake,1,1,3,1710.911
36 Shot Aqua Peony Cake,3,1,3,1710.911
12 Shot Crackling Gold Peony Cake,1,2,13,1720.138
12 Shot Crackling Gold Peony Cake,3,0,9,1722.403
10 Shot White Strobing Peony Cake,1,2,5,1738.172
