FIRING_HEADER_ROW,Ignition Event Time,Number Of Devices,Duration,Device Delay,Prefire Delay,Effect Name,Caliber,Position Name,Animation Description,Angles,Module Address,Slat Address,Pin Address,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
FIRING_DATA_ROW,2182.093,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,9,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2182.61,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,3,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2183.126,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,12,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2183.565,1,0.25,0,0,Cremora Fireball Medium,,Board 0,Cremora Fireball Medium,,0,0,14,GFX1003,GFX1003,,,,15,,
FIRING_DATA_ROW,2183.565,1,0.25,0,0,Cremora Fireball Medium,,Board 7,Cremora Fireball Medium,2,2,1,13,GFX1003,GFX1003,,,,15,,
FIRING_DATA_ROW,2183.642,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,6,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2184.158,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,0,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2184.674,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,11,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2185.19,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,15,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2185.706,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,6,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2186.222,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,7,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2186.739,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,5,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2187.255,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,9,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2187.771,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,8,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2188.287,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,0,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2188.803,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,11,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2189.319,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,13,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2189.835,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,10,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2190.351,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,11,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2190.868,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,1,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2191.384,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,2,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2191.9,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,15,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2192.416,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,6,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2192.932,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,5,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2193.448,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,5,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2193.964,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,14,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2194.48,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,13,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2194.997,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,1,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2195.513,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,11,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2196.029,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,4,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2196.545,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,12,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2197.029,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,15,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2197.545,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,10,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2198.061,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,10,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2198.577,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,7,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2199.094,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,3,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2199.61,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,8,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2200.126,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,13,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2200.642,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,12,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2201.158,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,15,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2201.674,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,10,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2202.19,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,2,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2202.706,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,14,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2203.223,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,12,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2203.739,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,4,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2204.255,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,8,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2204.771,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,4,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2205.287,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,0,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2205.803,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,8,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2206.319,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,3,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2206.835,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,2,3,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2207.352,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,2,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2207.868,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,13,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2208.384,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,1,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2208.9,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,7,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2209.416,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,7,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2209.932,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,4,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2210.448,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,9,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2210.964,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,5,6,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2211.481,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,14,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2211.997,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 Rack B,Palm w/ Green Pistil,,0,3,9,Mortar green palm,,,,,,,
